CGA ,Série ,RGN ,RGD ,Genotipado ,IGe,ACC_IGe,DIPP,ACC_DIPP,DPE365,ACC_DPE365,DPE450,ACC_DPE450,DPN,ACC_DPN,MP120,ACC_MP120,MP210,ACC_MP210,DP120,ACC_DP120,DP210,ACC_DP210,DP365,ACC_DP365,DP450,ACC_DP450,DPAC,ACC_DPAC
999437,AGMI,C3910,,,"7,49",12,"-0,31",7,"0,29",8,"0,36",8,"-0,28",27,"0,58",9,"0,62",9,"1,06",9,"2,46",10,"8,49",21,"10,12",23,"1,14",7
1440374,AGMI,C9210,,,"7,49",17,"-0,21",11,"0,15",14,"-0,22",14,"-0,04",32,"0,17",13,"0,44",13,"2,60",22,"4,09",23,"6,62",22,"8,68",23,"2,15",10
1562597,AGMI,D1850,,,"7,49",14,"-0,17",11,"0,47",16,"0,74",17,"1,11",19,"0,07",15,"0,19",15,"2,31",16,"3,28",17,"6,82",18,"4,87",18,"0,38",11
1562643,AGMI,D1913,,,"7,49",18,"-0,30",12,"0,06",20,"0,12",20,"0,65",35,"-0,23",17,"-0,02",17,"2,64",24,"4,63",26,"3,92",26,"6,17",27,"5,08",12
1738306,AGMI,D4664,,,"7,49",19,"-0,19",13,"0,32",17,"0,30",17,"1,00",22,"0,67",16,"0,97",16,"2,19",24,"3,10",25,"4,12",25,"6,46",26,"4,70",12
1319897,AGMI,C8061,,,"7,48",14,"0,02",9,"0,51",11,"0,40",13,"0,31",32,"1,86",12,"2,19",12,"3,09",19,"3,75",21,"8,39",21,"7,48",21,"3,05",8
1967524,AGMI,D6370,,,"7,48",20,"-0,21",12,"0,17",31,"0,23",35,"0,76",34,"0,79",17,"1,30",17,"3,12",24,"4,82",25,"6,54",31,"6,71",33,"2,01",12
2210147,AGMI,D8008,,,"7,48",18,"-0,24",8,"0,37",29,"0,52",33,"1,46",20,"1,84",11,"2,69",11,"3,15",22,"5,55",23,"5,28",28,"3,04",30,"4,13",7
2210811,AGMI,D8880,,,"7,48",19,"-0,33",10,"0,40",30,"0,33",34,"1,13",21,"2,66",14,"3,51",14,"2,32",22,"2,67",23,"7,17",28,"4,85",31,"5,67",10
2368037,AGMI,E210,,,"7,48",20,"-0,60",10,"0,04",32,"0,01",36,"0,14",22,"0,69",14,"1,11",14,"1,58",23,"2,45",25,"7,56",30,"5,01",33,"1,70",10
2801938,AGMI,E3869,,,"7,48",19,"-0,57",8,"1,09",31,"2,00",35,"-0,78",35,"-0,20",13,"-0,12",13,"2,00",24,"4,25",25,"7,94",31,"5,38",33,"3,27",8
2802877,AGMI,E5734,,,"7,48",19,"0,00",8,"0,54",31,"0,92",34,"-1,11",35,"1,64",13,"2,39",13,"1,20",22,"2,13",24,"4,23",30,"4,57",32,"4,60",8
2920134,AGMI,E6168,,,"7,48",17,"-0,37",7,"0,08",15,"0,09",15,"-2,50",35,"2,15",10,"2,96",10,"-0,68",22,"-0,18",23,"3,53",29,"6,17",31,"4,38",7
2920293,AGMI,E6474,,,"7,48",13,"-0,09",6,"0,01",14,"-0,01",15,"0,02",34,"2,74",9,"3,81",9,"0,63",20,"2,14",22,"8,03",22,"8,24",24,"2,88",6
3383926,AGMI,F2056,,,"7,48",20,"-0,21",10,"0,19",18,"0,13",19,"1,46",35,"-1,35",14,"-1,80",13,"3,56",24,"4,97",25,"2,91",31,"5,71",33,"2,44",9
3663570,AGMI,F4548,,,"7,48",14,"-0,18",5,"0,42",29,"0,58",16,"1,54",35,"0,01",8,"0,25",8,"3,18",22,"5,29",23,"4,45",29,"6,96",25,"3,66",5
3663697,AGMI,F4815,,,"7,48",16,"-0,20",4,"-0,02",17,"0,05",16,"0,40",22,"1,69",7,"2,42",7,"1,60",22,"2,17",24,"6,42",29,"7,73",31,"4,00",5
